,ID,Name,Class,label,Fe,Cr,Ni,Mo,Mn,C,Ti,Si,Nb,V,P,B,Al,N,S,Co,Cu,W,As,HT stage 1 name,HT stage 1 temperature,HT stage 1 duration,HT stage 1 cooling,HT stage 2 name,HT stage 2 temperature,HT stage 2 duration,HT stage 2 cooling,HT stage 3 name,HT stage 3 temperature,HT stage 3 duration,HT stage 3 cooling,AH stage 1 temperature,AH stage 1 duration,AH stage 2 temperature,AH stage 2 duration,AH stage 3 temperature,AH stage 3 duration,AH stage 4 temperature,AH stage 4 duration,Aging temperature,Aging duration,Sort,Temperature,yeld strength,ultimate tensile strength,maximum elongation,maximum contruction,toughness,creep limit stress,equivalent creep speed,long-therm strength,long-therm strength time,hardness
436,63174908f9be0a8222a9436c,40X13,M,1,83.915,13.87,0.6,0.0,0.6,0.36,0.0,0.6,0.0,0.0,0.03,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,Quenching,1050.0,0.7,3.0,Heat,600.0,3.0,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,600.0,260.0,310.0,21.0,84.0,120.0,,,,,321.0
660,63174908f9be0a8222a944f9,12X18N9,A,1,70.025,18.0,9.0,0.0,2.0,0.12,0.0,0.8,0.0,0.0,0.035,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,Quenching,1080.0,1.9,3.0,Dummy,30.0,1.0,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rod/L,20.0,230.0,560.0,46.0,66.0,220.0,,,,,
4071,63174c89f9be0a8222a95ca1,12X18N9TL,A,2,69.4575,18.5,9.5,0.0,1.5,0.06,0.35,0.6,0.0,0.0,0.0175,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,Normalizing,1125.0,2.1,500.0,Tempering,800.0,10.0,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Casting,20.0,196.0,442.0,25.0,32.5,89.0,,,,,
2769,63174c89f9be0a8222a95565,20X3MVF,P,2,94.6675,2.72,0.25,0.42,0.425,0.21,0.0,0.285,0.0,0.55,0.015,0.0,0.0,0.0,0.0125,0.0,0.125,0.32,0.0,Quenching,1055.0,3.5,120.0,Tempering,680.0,10.0,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rod,500.0,540.0,580.0,18.5,75.0,165.0,,,,,
3550,63174c89f9be0a8222a95938,10X18N9,A,2,70.8525,18.0,9.0,0.0,1.5,0.05,0.05,0.4,0.0,0.0,0.0125,0.0,0.0,0.0,0.01,0.0,0.125,0.0,0.0,Austenization,1060.0,4.0,3.0,Dummy,30.0,1.0,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forging,300.0,125.0,295.0,30.0,50.0,,,,,,
2473,63174c88f9be0a8222a9531f,12MX,P,2,97.6775,0.55,0.15,0.5,0.55,0.125,0.0,0.27,0.0,0.0,0.015,0.0,0.0,0.0,0.0125,0.0,0.15,0.0,0.0,Normalizing,920.0,1.0,3.0,Tempering,685.0,6.8,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tube,550.0,357.0,220.0,22.0,64.0,77.0,,,,,
1934,63174908f9be0a8222a94d38,40X13,M,1,83.845,13.0,0.6,0.0,0.8,0.4,0.2,0.8,0.0,0.0,0.03,0.0,0.0,0.0,0.025,0.0,0.3,0.0,0.0,Quenching,1040.0,0.7,3.0,Tempering,530.0,2.0,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,1420.0,1670.0,6.0,34.0,11.0,,,,,
2126,63174908f9be0a8222a94e8a,20X12VNMF,M,1,84.225,11.5,0.7,0.6,0.7,0.2,0.0,0.6,0.0,0.225,0.03,0.0,0.0,0.0,0.02,0.0,0.3,0.9,0.0,Quenching,1050.0,0.7,120.0,Tempering,700.0,4.8,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,600.0,362.5,382.5,21.5,83.5,139.5,,,,,
2767,63174c89f9be0a8222a95563,20X3MVF,P,2,94.6675,2.72,0.25,0.42,0.425,0.21,0.0,0.285,0.0,0.55,0.015,0.0,0.0,0.0,0.0125,0.0,0.125,0.32,0.0,Quenching,1055.0,3.5,120.0,Tempering,680.0,10.0,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rod,400.0,585.0,665.0,14.3,64.0,170.0,,,,,
3312,63174c89f9be0a8222a957e3,30X13,M,2,85.325,13.0,0.3,0.0,0.4,0.3,0.1,0.4,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.15,0.0,0.0,Quenching,1000.0,0.7,3.0,Tempering,650.0,2.5,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rod,300.0,627.0,774.0,13.0,53.0,123.0,,,,,
2662,63174c89f9be0a8222a95478,10XN1M,P,2,96.4,0.85,1.25,0.5,0.45,0.1,0.0,0.27,0.0,0.0,0.015,0.0,0.0,0.0,0.015,0.0,0.15,0.0,0.0,Quenching,920.0,3.5,500.0,Tempering,680.0,6.8,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheet,350.0,360.0,450.0,15.0,,,,,,,
3221,63174c89f9be0a8222a95788,08X13,F,2,86.1325,13.0,0.0,0.0,0.4,0.04,0.0,0.4,0.0,0.0,0.015,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,Quenching,990.0,1.0,500.0,Tempering,730.0,12.1,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheet,20.0,295.0,420.0,23.0,,,,,,,
1872,63174908f9be0a8222a94cbc,12X13,FM,1,84.125,13.0,0.6,0.0,0.8,0.12,0.2,0.8,0.0,0.0,0.03,0.0,0.0,0.0,0.025,0.0,0.3,0.0,0.0,Quenching,1040.0,0.5,120.0,Tempering,690.0,5.0,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,500.0,455.0,530.0,16.5,70.0,215.5,,,,,
191,63174908f9be0a8222a9419b,12XM,FP,1,97.6,0.5,0.25,0.5,0.55,0.12,0.0,0.225,0.0,0.0,0.03,0.0,0.0,0.0,0.025,0.0,0.2,0.0,0.0,Normalizing,920.0,2.0,0.1,Tempering,680.0,5.7,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tube/L,550.0,225.0,365.0,21.6,63.7,79.0,,,,,
1711,63174908f9be0a8222a94b97,12X17,F,1,81.22,17.0,0.0,0.0,0.8,0.12,0.0,0.8,0.0,0.0,0.035,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,Annealing,770.0,1.0,500.0,Dummy,30.0,1.0,3.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rod/L,20.0,250.0,400.0,20.0,50.0,,,,,,
